goalkeeper,penalties_faced,total_expected_goals,actual_goals_conceded,gpaa
Gianluigi Donnarumma,12,8.841397443442743,6,2.8413974434427427
Loris Karius,6,4.172437886973318,3,1.1724378869733183
Wojciech Szczęsny,8,6.050460727022181,5,1.0504607270221813
Javier Varas Herrera,3,1.9847868955744747,1,0.9847868955744747
Lukáš Hrádecký,3,1.9561082349896428,1,0.9561082349896428
Bradley Guzan,1,0.9399597025262261,0,0.9399597025262261
Lionel Mpasi-Nzau,1,0.9021881663703466,0,0.9021881663703466
Federico Marchetti,4,1.8616547892216164,1,0.8616547892216164
Davide Bassi,1,0.8500272442853491,0,0.8500272442853491
Pedro David Gallese Quiróz,1,0.8154856874454829,0,0.8154856874454829
Franco Costanzo,1,0.8144975251478398,0,0.8144975251478398
Johny Placide,1,0.8132269808396074,0,0.8132269808396074
Rubén Iván Martínez Andrade,4,2.810401625114978,2,0.8104016251149782
Francis Odinaka Uzoho,1,0.7788125659883733,0,0.7788125659883733
Antonio Adán Garrido,3,1.7647725236148322,1,0.7647725236148322
Martin Dúbravka,1,0.7643240574681436,0,0.7643240574681436
Alexandre Letellier,4,3.760908745462176,3,0.7609087454621761
Joel Robles Blázquez,2,1.7570918472573758,1,0.7570918472573758
Uğurcan Çakır,1,0.7469781542797095,0,0.7469781542797095
Gerónimo Rulli,5,3.6616179655908088,3,0.6616179655908088
Jean-Louis Leca,2,1.6479563372124055,1,0.6479563372124055
Andrés Eduardo Fernández Moreno,5,4.637048020115978,4,0.6370480201159783
Alexander Domínguez Carabalí,2,1.6306174751752784,1,0.6306174751752784
Heurelho da Silva Gomes,5,3.60020689033146,3,0.6002068903314601
Keylor Navas Gamboa,6,4.59281792007499,4,0.5928179200749897
Unai Simón Mendibil,5,2.58395715342283,2,0.5839571534228298
Sergio Rico González,2,1.5792338255380898,1,0.5792338255380898
Dimitry Bertaud,4,3.576690133196691,3,0.5766901331966912
Sergio Rochet Álvarez,5,3.5434552384629803,3,0.5434552384629803
Damián Emiliano Martínez,4,3.428196629827176,3,0.428196629827176
Jesús Fernández Collado,1,0.4258317434483735,0,0.4258317434483735
Jordan Pickford,10,6.400157851548712,6,0.40015785154871164
Rehnesh Thumbirumbu Paramba,1,0.08899465128712589,0,0.08899465128712589
Artur Boruc,1,0.087580115933917,0,0.087580115933917
Alireza Safar Beiranvand,1,0.08198763708699237,0,0.08198763708699237
