goalkeeper,penalties_taken_against,penalties_saved,goals_conceded,goalkeeper_save_rate
Adam Federici,1,0,1,0.0
Adrián San Miguel del Castillo,7,2,5,0.2857142857142857
Aitor Fernández Abarisketa,1,0,1,0.0
Alban Lafont,1,1,0,1.0
Albano Benjamín Bizzarri,4,2,2,0.5
Alberto Brignoli,1,0,1,0.0
Alberto García Cabrera,3,2,1,0.6666666666666666
Alberto Pelagotti,1,0,1,0.0
Albino Gomes,1,0,1,0.0
Alejandro Remiro Gargallo,1,0,1,0.0
Alex McCarthy,1,0,1,0.0
Alexander Domínguez Carabalí,5,0,4,0.0
Alexander Nübel,2,0,2,0.0
Alexandre Letellier,4,0,3,0.0
Ali Nadhoim Ahamada,1,1,0,1.0
Alireza Safar Beiranvand,1,1,0,1.0
Alisson Ramsés Becker,9,1,8,0.1111111111111111
Alphonse Areola,2,1,1,0.5
Amrinder Singh,2,1,1,0.5
Andrea Consigli,4,2,2,0.5
Andreas Hirzel,1,0,1,0.0
Andries Noppert,6,0,5,0.0
Andrés Eduardo Fernández Moreno,7,0,6,0.0
Andrés Palop Cervera,3,1,2,0.3333333333333333
Angelo Esmael da Costa Júnior,1,0,1,0.0
Angus Gunn,1,0,1,0.0
Anthony Lopes,3,0,3,0.0
Anthony Louis Mandréa,2,0,2,0.0
Antonio Adán Garrido,3,1,1,0.3333333333333333
Antonio Mirante,8,1,7,0.125
Antonio Rodríguez Martínez,5,1,4,0.2
António Alberto Bastos Pimparel,1,0,1,0.0
Arindam Bhattacharja,1,0,0,0.0
Armando Riveiro de Aguilar Malda,1,0,1,0.0
Arthur Desmas,1,0,1,0.0
Artur Boruc,5,1,3,0.2
Asier Riesgo Unamuno,5,2,3,0.4
Asmir Begović,2,0,2,0.0
Axel Werner,1,0,1,0.0
Babacar Niasse,2,0,2,0.0
Bart Verbruggen,1,0,1,0.0
Ben Foster,1,0,1,0.0
Benjamin Lecomte,4,0,3,0.0
Benoît Guy Robert Costil,3,1,2,0.3333333333333333
Bernd Leno,6,1,5,0.16666666666666666
Bradley Guzan,3,0,2,0.0
Casto Espinosa Barriga,1,0,1,0.0
Christian Mathenia,4,1,3,0.25
Claudio Andrés Bravo Muñoz,8,2,6,0.25
Clément Maury,4,0,4,0.0
Costel Fane Pantilimon,4,0,4,0.0
Cristian Darío Álvarez,3,0,3,0.0
Cédric Carrasso,2,1,1,0.5
César Sánchez Domínguez,3,0,3,0.0
Damián Emiliano Martínez,16,5,9,0.3125
Daniel Alberto Carnevali,1,0,1,0.0
Daniel Bachmann,1,0,1,0.0
Daniele Padelli,7,0,7,0.0
Danijel Subašić,14,6,7,0.42857142857142855
Darren Randolph,1,0,1,0.0
David Cobeño Iglesias,1,0,1,0.0
David Ospina Ramírez,7,1,6,0.14285714285714285
David Soria Solís,1,0,1,0.0
David Yelldell,1,0,1,0.0
David de Gea Quintana,8,0,8,0.0
Davide Bassi,2,0,1,0.0
Dayne Tristan St. Clair,4,0,4,0.0
Debjit Majumder,1,0,1,0.0
Declan Rudd,4,0,4,0.0
Denis Petrić,2,0,2,0.0
Dheeraj Singh Moirangthem,1,0,1,0.0
Diego Alves Carreira,5,0,5,0.0
Diego López Rodríguez,3,0,3,0.0
Diego Mariño Villar,4,0,4,0.0
Diego Orlando Benaglio,1,0,1,0.0
Dimitry Bertaud,8,0,7,0.0
Diogo Meireles Costa,9,3,6,0.3333333333333333
Djigui Diarra,2,0,1,0.0
Dominik Livaković,10,4,5,0.4
Dudú Aouate,5,1,4,0.2
Edouard Mendy,6,0,6,0.0
Eike Immel,1,0,1,0.0
Emiliano Viviano,9,4,5,0.4444444444444444
Ernan Alberto Siluane,1,0,1,0.0
Essam Kamal Tawfik El Hadary,2,1,1,0.5
Etrit Berisha,2,1,1,0.5
Eugenio Lamanna,1,0,1,0.0
Farouk Ben Mustapha,1,0,1,0.0
Federico Marchetti,6,2,3,0.3333333333333333
Felipe Melo de Carvalho,1,0,1,0.0
Felix Wiedwald,6,0,6,0.0
Fernando Pacheco Flores,3,1,2,0.3333333333333333
Francesc Arnau,1,0,1,0.0
Francesco Bardi,2,1,1,0.5
Francis Odinaka Uzoho,2,0,1,0.0
Francisco Casilla Cortés,2,0,2,0.0
Francisco Guillermo Ochoa Magaña,2,1,1,0.5
Franco Armani,2,0,2,0.0
Franco Costanzo,1,0,0,0.0
Frederik Rønnow,1,0,1,0.0
Gabriel Vasconelos Ferreira,2,1,1,0.5
Gauthier Gallon,1,0,1,0.0
Germán Darío Lux,4,1,3,0.25
Gerónimo Rulli,5,1,3,0.2
Gianluca Pegolo,1,0,1,0.0
Gianluigi Buffon,3,1,2,0.3333333333333333
Gianluigi Donnarumma,20,5,10,0.25
Giedrius Arlauskis,1,0,1,0.0
Glyn Oliver Myhill,5,0,4,0.0
Gorka Iraizoz Moreno,8,1,7,0.125
Grégory Coupet,1,0,1,0.0
Gurpreet Singh Sandhu,2,0,2,0.0
Gustavo Adolfo Munúa Vera,2,0,2,0.0
Hannes Þór Halldórsson,1,1,0,1.0
Heorhii Bushchan,1,1,0,1.0
Hernán Ismael Galíndez,1,0,1,0.0
Heurelho da Silva Gomes,8,3,4,0.375
Hrithik Tiwari,1,0,1,0.0
Hugo Lloris,20,1,18,0.05
Hyeon-Woo Jo,2,0,2,0.0
Iago Herrerín Buisán,3,0,3,0.0
Ian Walker,1,0,1,0.0
Ibrahim Kone,2,0,1,0.0
Idriss Carlos Kameni,5,1,4,0.2
Igor Akinfeev,11,3,8,0.2727272727272727
Iker Casillas Fernández,2,1,1,0.5
Ivane Carminio Francisco Urrubal,2,0,2,0.0
Iván Cuéllar Sacristán,8,1,6,0.125
Iñaki Lafuente Sancha,1,0,1,0.0
Jack Butland,3,0,3,0.0
Jahmali Waite,1,0,1,0.0
Jaime Jiménez Merlo,1,0,1,0.0
Jaime Manuel Penedo Cano,2,0,2,0.0
Jakob Haugaard,1,0,1,0.0
Jan Jongbloed,1,0,1,0.0
Jan Oblak,11,0,10,0.0
Jaroslav Drobný,1,1,0,1.0
Jasper Cillessen,1,1,0,1.0
Jaume Doménech Sánchez,3,3,0,1.0
Javier Varas Herrera,3,1,1,0.3333333333333333
Jean-Louis Leca,4,1,2,0.25
Jens Lehmann,4,0,3,0.0
Jeremías Ledesma,1,0,1,0.0
Jerzy Dudek,4,1,2,0.25
Jessy Moulin,1,0,1,0.0
Jesús Fernández Collado,1,0,0,0.0
Jindřich Staněk,1,0,1,0.0
Joe Hart,1,0,1,0.0
Joel Robles Blázquez,2,0,1,0.0
Johann Carrasso,2,0,2,0.0
John Ruddy,6,0,5,0.0
Johny Placide,1,0,0,0.0
Jon Ander Serantes Simon,1,0,1,0.0
Jonas Lössl,7,2,5,0.2857142857142857
Jonas Omlin,2,1,1,0.5
Jonathan Ligali,1,0,1,0.0
Jordan Pickford,18,3,13,0.16666666666666666
Jordi Masip López,2,1,1,0.5
Josimar José Évora Dias,4,1,2,0.25
José Manuel Pinto Colorado,3,0,3,0.0
José Manuel Reina Páez,3,0,3,0.0
Juan Antonio Rodríguez Villamuela,1,0,1,0.0
Juan Carlos Martín Corral,5,1,4,0.2
Jules Goda,1,0,1,0.0
Julio José González Vela-Alvizu,1,0,1,0.0
Julián Speroni,1,0,1,0.0
Jérôme Prior,2,1,1,0.5
Kamaljit Singh,6,2,4,0.3333333333333333
Karl Darlow,1,1,0,1.0
Kasper Schmeichel,15,4,10,0.26666666666666666
Kevin Müller,1,0,1,0.0
Kevin Trapp,5,2,3,0.4
Keylor Navas Gamboa,14,3,9,0.21428571428571427
Koen Casteels,1,1,0,1.0
Laurent Pionnier,2,0,2,0.0
Lawrence Ati-Zigi,1,0,1,0.0
Laxmikant Kattimani,6,4,2,0.6666666666666666
