match_id,league_name,match_date,minute,second,team,striker,footedness,goalkeeper_name,penalty_outcome,shot_side,shot_height,shot_angle,match_scoreline_diff,home_or_away
3890265,1. Bundesliga,2015-08-15,47,3,Hertha Berlin,Salomon Armand Magloire Kalou,Right Foot,Marwin Hitz,Goal,Center,Middle,0.0,1,Away
3890262,1. Bundesliga,2015-08-15,58,50,Hannover 96,Mevlüt Erdinç,Right Foot,Christian Mathenia,Saved,Center,Lower,0.0,0,Away
3890266,1. Bundesliga,2015-08-16,74,35,FC Köln,Anthony Modeste,Right Foot,Przemysław Tytoń,Goal,Center,Upper,0.0,2,Away
3890266,1. Bundesliga,2015-08-16,78,40,VfB Stuttgart,Daniel Didavi,Left Foot,Timo Horn,Goal,Left,Lower,90.0,-2,Home
3890270,1. Bundesliga,2015-08-22,73,18,Hoffenheim,Eugen Polanski,Right Foot,Manuel Neuer,Post,Left,Middle,0.0,-1,Home
3890275,1. Bundesliga,2015-08-23,59,49,Borussia Dortmund,Marco Reus,Right Foot,Ørjan Håskjold Nyland,Goal,Center,Upper,0.0,4,Away
3890277,1. Bundesliga,2015-08-28,58,28,Wolfsburg,Ricardo Iván Rodríguez Araya,Left Foot,Ralf Fährmann,Goal,Left,Lower,0.0,3,Home
3890278,1. Bundesliga,2015-08-29,59,31,Bayern Munich,Thomas Müller,Right Foot,Bernd Leno,Goal,Center,Middle,0.0,3,Home
3890279,1. Bundesliga,2015-08-29,68,28,Eintracht Frankfurt,Haris Seferović,Left Foot,Odisseas Vlachodimos,Goal,Left,Lower,0.0,3,Away
3890278,1. Bundesliga,2015-08-29,70,8,Bayern Munich,Arjen Robben,Left Foot,Bernd Leno,Goal,Right,Middle,0.0,3,Home
3890280,1. Bundesliga,2015-08-29,80,1,FC Köln,Anthony Modeste,Right Foot,Andreas Hirzel,Goal,Center,Lower,0.0,1,Home
3890285,1. Bundesliga,2015-08-30,38,42,Werder Bremen,Aron Jóhannsson,Right Foot,Yann Sommer,Goal,Center,Lower,0.0,1,Home
3890285,1. Bundesliga,2015-08-30,87,27,Werder Bremen,Felix Kroos,Right Foot,Yann Sommer,Off T,Right,Lower,0.0,1,Home
3890292,1. Bundesliga,2015-09-12,34,24,Borussia Dortmund,Pierre-Emerick Aubameyang,Right Foot,Ron-Robert Zieler,Goal,Center,Middle,0.0,2,Away
3890292,1. Bundesliga,2015-09-12,84,48,Borussia Dortmund,Pierre-Emerick Aubameyang,Right Foot,Ron-Robert Zieler,Goal,Center,Upper,0.0,2,Away
3890287,1. Bundesliga,2015-09-12,89,3,Bayern Munich,Thomas Müller,Right Foot,Marwin Hitz,Goal,Center,Middle,0.0,1,Home
3890293,1. Bundesliga,2015-09-13,3,57,Schalke 04,Klaas-Jan Huntelaar,Right Foot,Loris Karius,Saved,Center,Middle,44.77173116984662,1,Home
